,Row.names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensemblid,ensembl,entrezgene,hgnc_symbol,hgnc_biotype,chromosome_name,chromosome_start,chromosome_end,DMEM_F12 / 3373-EN-10 (raw),DMEM_F12 / 3373-EN-11 (raw),TF-NB / 3506-EN-1 (raw),TF-NB / 3506-EN-2 (raw),TF-NB / 3506-EN-3 (raw),DMEM_F12 / 3373-EN-10 (normalized),DMEM_F12 / 3373-EN-11 (normalized),TF-NB / 3506-EN-1 (normalized),TF-NB / 3506-EN-2 (normalized),TF-NB / 3506-EN-3 (normalized)
1,ENSG00000163053.10,2957.526704,-7.049685094,0.29217335,-24.12843297,1.26E-128,2.34E-124,ENSG00000163053,ENSG00000163053.10,151473,SLC16A14,protein_coding,2,230034982,230068993,44.49010116,25.93696416,4776.826107,5130.784755,4809.595592,29,10,6640,7517,9898
2,ENSG00000198203.9,1412.734225,-5.549470117,0.297509436,-18.65308942,1.19E-77,1.11E-73,ENSG00000198203,ENSG00000198203.9,6819,SULT1C2,protein_coding,2,108288639,108309915,38.35353548,64.84241039,2658.188624,2270.186257,2032.1003,25,25,3695,3326,4182
3,ENSG00000139410.14,1114.205272,-4.166516492,0.226086062,-18.4288959,7.70E-76,4.77E-72,ENSG00000139410,ENSG00000139410.14,113675,SDSL,protein_coding,12,113422380,113438276,96.65090941,103.7478566,1785.554578,1686.599592,1898.473427,63,40,2482,2471,3907
4,ENSG00000107537.13,2667.99157,-3.128160467,0.173496286,-18.03012924,1.13E-72,5.25E-69,ENSG00000107537,ENSG00000107537.13,5264,PHYH,protein_coding,10,13277796,13302412,503.1983855,438.3346943,4202.024291,4189.537958,4006.862523,328,169,5841,6138,8246
5,ENSG00000169302.14,1584.503568,-4.79784768,0.267378118,-17.94405509,5.34E-72,1.98E-68,ENSG00000169302,ENSG00000169302.14,202374,STK32A,protein_coding,5,147234963,147387855,115.0606064,64.84241039,2379.780235,2441.508191,2921.326399,75,25,3308,3577,6012
6,ENSG00000179256.2,1509.155799,-7.910963978,0.485525287,-16.29361886,1.10E-59,3.39E-56,ENSG00000179256,ENSG00000179256.2,440087,SMCO3,protein_coding,12,14804650,14814182,15.34141419,2.593696416,2645.958799,2182.136339,2699.748748,10,1,3678,3197,5556
7,ENSG00000108932.11,834.0837092,-4.282954273,0.264378501,-16.20008532,5.04E-59,1.34E-55,ENSG00000108932,ENSG00000108932.11,9120,SLC16A6,protein_coding,17,68267026,68291267,64.43393961,75.21719606,1235.931815,1266.144169,1528.691426,42,29,1718,1855,3146
8,ENSG00000149599.15,1399.601034,-4.637489172,0.286858838,-16.1664504,8.70E-59,2.02E-55,ENSG00000149599,ENSG00000149599.15,128853,DUSP15,protein_coding,20,31847637,31870747,59.83151535,129.6848208,2323.666917,2190.327029,2294.494886,39,50,3230,3209,4722
9,ENSG00000131389.16,4056.73572,3.30298018,0.205390038,16.08150136,3.44E-58,7.10E-55,ENSG00000131389,ENSG00000131389.16,6533,SLC6A6,protein_coding,3,14402576,14489349,8572.78225,9033.844616,1084.138094,811.5608719,781.3527695,5588,3483,1507,1189,1608
10,ENSG00000025039.14,1331.840284,-4.857498025,0.305601775,-15.89486197,6.88E-57,1.28E-53,ENSG00000025039,ENSG00000025039.14,58528,RRAGD,protein_coding,6,89364616,89412273,99.71919225,44.09283907,2217.914893,1847.000605,2450.473891,65,17,3083,2706,5043
11,ENSG00000142549.9,664.8055367,3.662585725,0.236179814,15.50761544,3.08E-54,5.20E-51,ENSG00000142549,ENSG00000142549.9,402665,IGLON5,protein_coding,19,51311848,51330354,1342.373742,1628.841349,126.6146679,132.4161557,93.78176897,875,628,176,194,193
12,ENSG00000277586.2,701.9685315,-4.37841464,0.298541427,-14.66602036,1.06E-48,1.65E-45,ENSG00000277586,ENSG00000277586.2,4747,NEFL,protein_coding,8,24950955,24956721,50.62666683,59.65501756,1284.131717,916.6747275,1198.754529,33,23,1785,1343,2467
13,ENSG00000170153.10,1365.08474,-3.176884962,0.219579783,-14.46802121,1.93E-47,2.76E-44,ENSG00000170153,ENSG00000170153.10,57484,RNF150,protein_coding,4,140859807,141212877,253.1333342,212.6831061,2443.087569,1993.750468,1922.769222,165,82,3396,2921,3957
14,ENSG00000064300.8,4491.044893,-3.333535141,0.244423934,-13.63833357,2.37E-42,3.14E-39,ENSG00000064300,ENSG00000064300.8,4804,NGFR,protein_coding,17,49495293,49515008,842.2436391,544.6762473,8204.77436,6027.665315,6835.864901,549,210,11405,8831,14068
15,ENSG00000214193.10,2448.547153,-2.329048893,0.173892383,-13.39362225,6.59E-41,8.16E-38,ENSG00000214193,ENSG00000214193.10,79729,SH3D21,protein_coding,1,36306368,36329340,701.1026286,734.0160857,3922.177099,3472.852579,3412.587376,457,283,5452,5088,7023
16,ENSG00000115112.7,1224.824866,-2.914283939,0.218502803,-13.33751281,1.40E-40,1.63E-37,ENSG00000115112,ENSG00000115112.7,29842,TFCP2L1,protein_coding,2,121216587,121285202,248.5309099,248.9948559,2194.174643,1723.457697,1708.966225,162,96,3050,2525,3517
17,ENSG00000140450.8,1633.404523,-3.012918518,0.226089113,-13.32624327,1.63E-40,1.78E-37,ENSG00000140450,ENSG00000140450.8,91947,ARRDC4,protein_coding,15,97960703,97973833,257.7357584,370.8985875,2229.425317,2723.40444,2585.558511,168,143,3099,3990,5321
18,ENSG00000113369.8,9909.925731,-3.16256973,0.237804677,-13.29902241,2.35E-40,2.42E-37,ENSG00000113369,ENSG00000113369.8,57561,ARRDC3,protein_coding,5,91368631,91383317,2137.058997,1289.067119,14237.67553,16100.84895,15784.97806,1393,497,19791,23589,32485
19,ENSG00000187068.2,937.2829895,3.592443905,0.272503692,13.18310179,1.10E-39,1.07E-36,ENSG00000187068,ENSG00000187068.2,285382,C3orf70,protein_coding,3,185076838,185153060,2655.598797,1512.12501,153.9519257,178.1475085,186.5917061,1731,583,214,261,384
20,ENSG00000204248.10,1189.076619,3.154864213,0.239763356,13.15824181,1.53E-39,1.42E-36,ENSG00000204248,ENSG00000204248.10,1302,COL11A2,protein_coding,6,33162681,33192499,2015.861825,3073.530253,257.5457449,318.0717967,280.3734751,1314,1185,358,466,577
21,ENSG00000116883.8,693.7958714,-2.936248715,0.224064038,-13.1045068,3.10E-39,2.62E-36,ENSG00000116883,ENSG00000116883.8,NA,NA,NA,NA,NA,NA,138.0727277,140.0596065,1149.603632,964.4537527,1076.789638,90,54,1598,1413,2216
22,ENSG00000149260.15,2780.488525,-2.343578325,0.178808733,-13.10662117,3.02E-39,2.62E-36,ENSG00000149260,ENSG00000149260.15,726,CAPN5,protein_coding,11,77066961,77126155,814.6290936,798.8584961,4563.883257,3813.448773,3911.623006,531,308,6344,5587,8050
23,ENSG00000111052.7,773.597899,-2.65588957,0.209677164,-12.66656566,9.06E-37,7.32E-34,ENSG00000111052,ENSG00000111052.7,8825,LIN7A,protein_coding,12,80792520,80937925,200.9725259,165.9965706,1125.863382,1224.508162,1150.648855,131,64,1565,1794,2368
